PRODUCTO,NOMBRECOMERCIAL,latitud,longitud,PRECIO
CERVEZA,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,19.380448,-99.101768,42.0
CERVEZA,MEGA SORIANA SUCURSAL LA VIGA,19.460236,-99.193576,41.9
CERVEZA,SORIANA HIPER SUCURSAL LA VIGA (251),19.359962,-99.12233,44.9
CERVEZA,SORIANA SUPER SUCURSAL TORIELLO (284),19.294432,-99.156742,44.0
CERVEZA,WALMART EXPRESS SUCURSAL PERIFERICO,19.29588,-99.15535,42.0
CERVEZA,WALMART SUCURSAL PLAZA ORIENTE,19.38251,-99.079949,42.0
CERVEZA,WALMART SUCURSAL VILLA COAPA,19.293833,-99.125379,45.0
LIMON,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,19.380448,-99.101768,52.0
LIMON,BODEGA AURRERA SUCURSAL VILLA COAPA,19.291641,-99.12561,52.0
LIMON,BODEGA AURRERA SUCURSAL XOCHIMILCO,19.267356,-99.116357,52.0
LIMON,CHEDRAUI SELECTO SUCURSAL UNIVERSIDAD,19.373284,-99.163,44.9
LIMON,MEGA SORIANA SUCURSAL LA VIGA,19.460236,-99.193576,44.9
LIMON,MERCADO VILLA COAPA,19.292364,-99.12591,40.0
LIMON,SORIANA HIPER SUCURSAL LA VIGA (251),19.359962,-99.12233,44.9
LIMON,SORIANA SUPER SUCURSAL TORIELLO (284),19.294432,-99.156742,44.9
LIMON,WALMART EXPRESS SUCURSAL PERIFERICO,19.29588,-99.15535,54.0
LIMON,WALMART EXPRESS SUCURSAL PORTAL CHURUBUSCO,19.369083,-99.120971,49.9
LIMON,WALMART EXPRESS SUCURSAL UNIDAD ACOXPA,19.29749,-99.13692,59.0
LIMON,WALMART SUCURSAL PLAZA ORIENTE,19.38251,-99.079949,49.9
LIMON,WALMART SUCURSAL VILLA COAPA,19.293833,-99.125379,49.9
SALSA DE SOYA,BODEGA AURRERA SUCURSAL VILLA COAPA,19.291641,-99.12561,17.0
SALSA DE SOYA,WALMART EXPRESS SUCURSAL PERIFERICO,19.29588,-99.15535,17.0
SALSA DE SOYA,WALMART EXPRESS SUCURSAL PORTAL CHURUBUSCO,19.369083,-99.120971,16.0
SALSA DE SOYA,WALMART EXPRESS SUCURSAL UNIDAD ACOXPA,19.29749,-99.13692,17.0
SALSA DE SOYA,WALMART SUCURSAL PLAZA ORIENTE,19.38251,-99.079949,17.0
SALSA DE SOYA,WALMART SUCURSAL VILLA COAPA,19.293833,-99.125379,17.0
SALSA INGLESA,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,19.380448,-99.101768,60.0
SALSA INGLESA,BODEGA AURRERA SUCURSAL VILLA COAPA,19.291641,-99.12561,60.0
SALSA INGLESA,BODEGA AURRERA SUCURSAL XOCHIMILCO,19.267356,-99.116357,60.0
SALSA INGLESA,MEGA SORIANA SUCURSAL LA VIGA,19.460236,-99.193576,67.5
SALSA INGLESA,SORIANA HIPER SUCURSAL LA VIGA (251),19.359962,-99.12233,67.5
SALSA INGLESA,SORIANA SUPER SUCURSAL TORIELLO (284),19.294432,-99.156742,67.5
SALSA INGLESA,WALMART EXPRESS SUCURSAL PERIFERICO,19.29588,-99.15535,67.5
SALSA INGLESA,WALMART EXPRESS SUCURSAL PORTAL CHURUBUSCO,19.369083,-99.120971,67.5
SALSA INGLESA,WALMART EXPRESS SUCURSAL UNIDAD ACOXPA,19.29749,-99.13692,67.5
SALSA INGLESA,WALMART SUCURSAL PLAZA ORIENTE,19.38251,-99.079949,67.5
SALSA INGLESA,WALMART SUCURSAL VILLA COAPA,19.293833,-99.125379,67.5
