PRODUCTO,NOMBRECOMERCIAL,LATITUD,LONGITUD,PRECIO
HARINA DE TRIGO,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,19.380448,-99.101768,18.0
HARINA DE TRIGO,BODEGA AURRERA SUCURSAL VILLA COAPA,19.291641,-99.12561,22.5
HARINA DE TRIGO,BODEGA AURRERA SUCURSAL XOCHIMILCO,19.267356,-99.116357,18.5
HARINA DE TRIGO,CHEDRAUI SELECTO SUCURSAL UNIVERSIDAD,19.373284,-99.163,21.0
HARINA DE TRIGO,GRUPO ZORRO ABARROTERO S.A. DE C.V. (IZTAPALAPA),19.374706,-99.0973,22.1
HARINA DE TRIGO,MEGA SORIANA SUCURSAL LA VIGA,19.460236,-99.193576,24.75
HARINA DE TRIGO,NETO SUCURSAL PANTITLAN,19.412874,-99.062463,19.5
HARINA DE TRIGO,SORIANA HIPER SUCURSAL LA VIGA (251),19.359962,-99.12233,23.46666666666667
HARINA DE TRIGO,SORIANA SUPER SUCURSAL TORIELLO (284),19.294432,-99.156742,23.0
HARINA DE TRIGO,SURTI TIENDA ÚNICA (IZTAPALAPA),19.374206,-99.090289,19.0
HARINA DE TRIGO,WALMART EXPRESS SUCURSAL PERIFERICO,19.29588,-99.15535,21.333333333333332
HARINA DE TRIGO,WALMART EXPRESS SUCURSAL UNIDAD ACOXPA,19.29749,-99.13692,21.25
HARINA DE TRIGO,WALMART SUCURSAL PLAZA ORIENTE,19.38251,-99.079949,19.166666666666668
HARINA DE TRIGO,WALMART SUCURSAL VILLA COAPA,19.293833,-99.125379,21.666666666666668
HARINA DE TRIGO,ZORRO SUCURSAL ZQ6,19.374728,-99.097935,22.1
PURE DE TOMATE,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,19.380448,-99.101768,32.0
PURE DE TOMATE,BODEGA AURRERA SUCURSAL XOCHIMILCO,19.267356,-99.116357,32.0
PURE DE TOMATE,CHEDRAUI SELECTO SUCURSAL UNIVERSIDAD,19.373284,-99.163,27.95
PURE DE TOMATE,GRUPO ZORRO ABARROTERO S.A. DE C.V. (IZTAPALAPA),19.374706,-99.0973,27.4
PURE DE TOMATE,SORIANA HIPER SUCURSAL LA VIGA (251),19.359962,-99.12233,33.5
PURE DE TOMATE,SORIANA SUPER SUCURSAL TORIELLO (284),19.294432,-99.156742,33.9
PURE DE TOMATE,SURTI TIENDA ÚNICA (IZTAPALAPA),19.374206,-99.090289,27.4
PURE DE TOMATE,WALMART EXPRESS SUCURSAL PERIFERICO,19.29588,-99.15535,32.5
PURE DE TOMATE,WALMART EXPRESS SUCURSAL PORTAL CHURUBUSCO,19.369083,-99.120971,32.5
PURE DE TOMATE,WALMART SUCURSAL PLAZA ORIENTE,19.38251,-99.079949,32.5
PURE DE TOMATE,WALMART SUCURSAL VILLA COAPA,19.293833,-99.125379,32.5
QUESO MANCHEGO,BODEGA AURRERA SUCURSAL PLAZA CHURUBUSCO,19.380448,-99.101768,109.33333333333333
QUESO MANCHEGO,BODEGA AURRERA SUCURSAL VILLA COAPA,19.291641,-99.12561,107.0
QUESO MANCHEGO,CHEDRAUI SELECTO SUCURSAL UNIVERSIDAD,19.373284,-99.163,116.33333333333333
QUESO MANCHEGO,MEGA SORIANA SUCURSAL LA VIGA,19.460236,-99.193576,89.9
QUESO MANCHEGO,SORIANA HIPER SUCURSAL LA VIGA (251),19.359962,-99.12233,109.93333333333334
QUESO MANCHEGO,SORIANA SUPER SUCURSAL TORIELLO (284),19.294432,-99.156742,113.54
QUESO MANCHEGO,WALMART EXPRESS SUCURSAL PERIFERICO,19.29588,-99.15535,128.0
QUESO MANCHEGO,WALMART EXPRESS SUCURSAL PORTAL CHURUBUSCO,19.369083,-99.120971,134.5
QUESO MANCHEGO,WALMART EXPRESS SUCURSAL UNIDAD ACOXPA,19.29749,-99.13692,130.0
QUESO MANCHEGO,WALMART SUCURSAL PLAZA ORIENTE,19.38251,-99.079949,115.33333333333333
QUESO MANCHEGO,WALMART SUCURSAL VILLA COAPA,19.293833,-99.125379,121.5
